,Game_ID,Title,Platform,Genre,Region,Sales_Units,Release_Date,Publisher,Price,Physical_vs_Digital
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
2,3,Game C,PC,Sports,Asia,3.2,2020-09-20,Publisher Z,39.99,"50% Physical, 50% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
2,3,Game C,PC,Sports,Asia,3.2,2020-09-20,Publisher Z,39.99,"50% Physical, 50% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
2,3,Game C,PC,Sports,Asia,3.2,2020-09-20,Publisher Z,39.99,"50% Physical, 50% Digital"
1,2,Game B,PlayStation,RPG,Europe,1.8,2019-07-10,Publisher Y,49.99,"70% Physical, 30% Digital"
2,3,Game C,PC,Sports,Asia,3.2,2020-09-20,Publisher Z,39.99,"50% Physical, 50% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
0,1,Game A,Xbox,Action,North America,2.5,2018-03-15,Publisher X,59.99,"60% Physical, 40% Digital"
